Zipcode,State,Land Area (sq mi),Center Point Lat,Center Point Lng
01338,MA,3.4539999999999997,42.572604,-72.824306
01339,MA,54.978,42.603776,-72.88964399999999
01340,MA,44.181999999999995,42.694731,-72.71095600000001
01341,MA,35.686,42.496937,-72.709414
01342,MA,17.834,42.543889,-72.60945799999999
01343,MA,4.871,42.657625,-72.978933
01344,MA,13.634,42.613417999999996,-72.426427
01346,MA,20.996,42.693275,-72.823113
01347,MA,0.5770000000000001,42.559294,-72.518753
01349,MA,7.685,42.563061,-72.482122
01350,MA,10.720999999999998,42.727771999999995,-72.98534599999999
01351,MA,20.926,42.53988,-72.521689
01354,MA,13.764000000000001,42.624076,-72.508643
01355,MA,47.38,42.458551,-72.327191
01360,MA,34.285,42.677091,-72.453876
01364,MA,39.232,42.605437,-72.292074
01366,MA,40.405,42.475621000000004,-72.192468
01367,MA,26.535999999999998,42.695532,-72.909148
01368,MA,41.842,42.679456,-72.176935
01370,MA,49.818999999999996,42.593338,-72.726941
01373,MA,24.160999999999998,42.475481,-72.615403
01375,MA,14.23,42.466691,-72.546751
01376,MA,2.761,42.595279999999995,-72.555002
01378,MA,34.021,42.673533,-72.353213
01379,MA,30.209,42.556309999999996,-72.40714799999999
01420,MA,30.316999999999997,42.584925,-71.816862
01430,MA,36.979,42.657005,-71.92344200000001
01431,MA,23.701999999999998,42.676293,-71.832523
01432,MA,8.443999999999999,42.566573,-71.575135
01434,MA,5.281000000000001,42.538903000000005,-71.612027
01436,MA,9.595,42.602059000000004,-72.08701500000001
01438,MA,0.542,42.562243,-72.031402
01440,MA,24.041999999999998,42.584206,-71.988737
01450,MA,32.756,42.61176,-71.565269
01451,MA,19.132,42.501908,-71.568201
01452,MA,41.071000000000005,42.489598,-72.00287800000001
01453,MA,28.469,42.519977000000004,-71.763202
01460,MA,16.523,42.535931,-71.490569
01462,MA,26.419,42.582607,-71.720464
01463,MA,22.6,42.670643,-71.602858
01464,MA,15.014000000000001,42.573654,-71.640986
01467,MA,1.895,42.489646,-71.609577
01468,MA,21.4,42.542767,-72.068345
01469,MA,22.881,42.664828,-71.695087
01473,MA,35.433,42.5546,-71.90544
01474,MA,9.919,42.669685,-71.752751
01475,MA,42.852,42.66816,-72.055644
01501,MA,15.457,42.198708,-71.846006
01503,MA,12.972000000000001,42.384929,-71.633889
01504,MA,11.075,42.039991,-71.53240600000001
01505,MA,16.061,42.355049,-71.716157
01506,MA,15.546,42.180788,-72.10789100000001
01507,MA,42.183,42.133935,-71.968025
01510,MA,5.655,42.411887,-71.690005
01515,MA,9.853,42.209682,-72.040178
01516,MA,36.754,42.053072,-71.752241
01518,MA,8.871,42.127477,-72.118818
01519,MA,10.912,42.203404,-71.679739
01520,MA,18.081,42.336372,-71.850626
01521,MA,12.294,42.046799,-72.180144
01522,MA,16.378,42.375634000000005,-71.86738199999999
01523,MA,25.188000000000002,42.483569,-71.675585
01524,MA,15.975,42.249603,-71.919217
01525,MA,0.449,42.106794,-71.63051800000001
01527,MA,15.569,42.192246000000004,-71.777649
01529,MA,4.906000000000001,42.036642,-71.578779
01531,MA,20.789,42.319125,-72.130814
01532,MA,18.476,42.323342,-71.646236
01534,MA,8.758,42.142074,-71.643348
01535,MA,21.268,42.267564,-72.06687600000001
01536,MA,8.339,42.231309,-71.692642
01537,MA,6.983,42.158966,-71.897051
01540,MA,19.355,42.116263000000004,-71.857465
01541,MA,35.409,42.454125,-71.87754
