Zipcode,Total Discharges,Average Charge,National Average Charge,Difference
14220,32.070422535211264,12830.958873239439,12842.20915492958,-11.250281690140929
14302,32.0,9002.170526315791,9349.319473684209,-347.14894736842126
14424,26.666666666666668,5803.858333333334,8892.014333333333,-3088.156000000001
14432,18.666666666666668,6608.437333333333,8243.935333333331,-1635.498
14437,18.2,6962.221999999999,9169.488666666666,-2207.266666666666
14456,26.176470588235293,7863.086764705883,10096.393823529408,-2233.3070588235296
14513,26.58823529411765,7204.852647058823,9843.10882352941,-2638.2561764705893
14569,19.2,6720.811,7309.989,-589.178
14620,35.78688524590164,12176.6493442623,11265.525737704917,911.1236065573767
14621,42.354838709677416,11373.527204301074,11827.047204301074,-453.5199999999999
14626,35.72727272727273,10911.71127272727,11454.372000000001,-542.6607272727276
14642,40.649484536082475,17458.221958762886,11615.118659793812,5843.10329896907
14701,29.54054054054054,7312.804324324323,9787.897837837838,-2475.0935135135137
14760,30.692307692307693,8693.571794871796,10993.878717948717,-2300.306923076923
14810,15.125,8764.181250000001,9786.903749999998,-1022.7224999999995
14830,31.210526315789473,6384.919736842104,8692.813947368419,-2307.894210526316
14843,18.857142857142858,8410.628571428571,9855.274285714286,-1444.6457142857141
14850,25.565217391304348,8523.647826086957,10513.118695652176,-1989.4708695652178
14895,23.6,7244.296,8916.425333333334,-1672.129333333333
14902,18.125,5429.034999999999,7305.838750000001,-1876.80375
14905,41.03030303030303,9120.806363636366,10444.83287878788,-1324.0265151515152
15009,30.467741935483872,9062.411451612901,11359.925967741934,-2297.5145161290325
15063,25.52173913043478,7011.356304347825,9371.727391304343,-2360.371086956522
15065,22.548387096774192,7339.515161290324,9891.16129032258,-2551.646129032258
15132,27.77777777777778,9960.011851851852,8537.665555555557,1422.3462962962965
15136,16.352941176470587,7117.404117647058,7848.674705882353,-731.2705882352941
15143,26.73076923076923,7828.655769230769,11012.660384615381,-3184.0046153846165
15146,27.153061224489797,7389.933877551025,9736.874285714288,-2346.940408163266
15212,34.28235294117647,15803.36729411764,11849.408941176473,3953.958352941176
15213,61.59848484848485,15593.60606060606,11639.122954545455,3954.483106060605
15215,31.612903225806452,10490.041774193549,10819.116129032262,-329.0743548387099
15219,30.666666666666668,12889.016521739128,10231.471014492754,2657.545507246378
15224,19.8,16710.317000000003,12319.344,4390.973
15236,28.166666666666668,7540.257333333336,11397.596166666666,-3857.3388333333332
15237,34.92,7967.656000000001,11349.762000000002,-3382.106000000001
15243,36.098591549295776,8323.75112676056,11517.220985915492,-3193.4698591549304
15301,30.60655737704918,9694.697213114754,10869.665573770493,-1174.9683606557376
15317,16.31578947368421,6184.355263157894,8946.786842105264,-2762.4315789473685
15370,16.75,7706.34875,8687.971249999999,-981.6224999999998
15401,30.023809523809526,7496.880714285716,10010.345952380952,-2513.4652380952384
15425,29.8,5224.397999999999,7833.522,-2609.124
15501,20.375,7569.365625,10074.723125,-2505.3575000000005
15537,18.363636363636363,6670.625454545455,9116.021818181818,-2445.3963636363633
15601,34.714285714285715,7357.65035714286,9716.589642857141,-2358.9392857142857
15650,22.86111111111111,7796.051944444444,9416.094444444441,-1620.0425
15666,17.416666666666668,5943.5575,9050.582499999999,-3107.025
15701,27.066666666666666,7155.265333333334,9475.213777777775,-2319.9484444444442
15767,17.75,5112.941250000001,7542.5425,-2429.6012499999997
15801,32.98529411764706,8223.812647058825,10843.754558823528,-2619.9419117647053
15857,25.75,5316.974166666666,8628.459166666666,-3311.485
15905,41.35632183908046,11223.273448275862,11701.222183908043,-477.94873563218385
15963,16.0,5872.695000000001,12264.432499999999,-6391.7375
16001,29.659574468085108,7604.830425531915,10805.087021276597,-3200.2565957446814
16105,31.657894736842106,8057.152368421052,9224.10342105263,-1166.9510526315785
16117,17.0,6713.7814285714285,10059.555714285712,-3345.7742857142853
16125,26.866666666666667,7594.070666666667,9999.276444444444,-2405.2057777777773
16127,19.25,5332.98,8286.320833333331,-2953.340833333333
16146,32.42372881355932,7573.438305084746,9994.563559322032,-2421.1252542372886
