Edu Score,Population,Zipcode
57.93450881612091,493.0,01088
56.23431562343156,28600.0,01089
53.7037037037037,1291.0,01092
69.03633491311216,307.0,01093
54.12371134020618,336.0,01094
63.19383718509264,14514.0,01095
60.59572532969531,2494.0,01096
33.333333333333336,31.0,01097
61.58445440956652,1149.0,01098
57.692307692307686,2564.0,01103
45.11389227304611,23485.0,01104
41.95094446010713,12027.0,01105
76.22897800776197,16007.0,01106
43.25581395348837,11224.0,01107
52.60362424494897,27342.0,01108
47.00845628560308,30541.0,01109
56.805495920996144,14453.0,01118
52.05646454924607,13269.0,01119
53.06915306915308,2498.0,01128
56.18350414836505,7377.0,01129
48.25870646766169,9037.0,01151
0.0,0.0,01199
55.18693377567947,45328.0,01201
49.32329683698297,8391.0,01220
54.37853107344633,812.0,01222
59.04828879512424,2294.0,01223
60.6060606060606,138.0,01224
49.557886078552336,3124.0,01225
57.13638012332245,6892.0,01226
55.89743589743589,114.0,01229
62.61349604125809,8048.0,01230
54.216867469879524,2866.0,01235
73.35796387520526,1538.0,01236
58.26348592306039,2841.0,01237
60.605125038592156,5950.0,01238
66.87207577313706,4603.0,01240
54.96794871794871,394.0,01242
53.921568627450974,374.0,01243
64.52991452991454,115.0,01244
64.1310089804543,950.0,01245
52.43612196326732,15737.0,01247
60.28368794326241,708.0,01253
68.35378323108385,954.0,01254
60.15406162464986,852.0,01255
49.448685326547924,796.0,01256
59.495030889067955,2203.0,01257
63.82428940568476,334.0,01258
67.44386873920553,563.0,01259
53.01204819277109,485.0,01260
53.63057324840764,1239.0,01262
66.10169491525424,153.0,01264
68.96942242355607,1430.0,01266
73.70933177479056,7884.0,01267
64.02714932126698,789.0,01270
59.5174643783534,17766.0,01301
65.33940083428138,1432.0,01330
49.151923177287195,13290.0,01331
56.77631578947368,2593.0,01337
64.8018648018648,196.0,01338
59.02014652014652,1378.0,01339
56.182212581344906,1686.0,01340
72.0440881763527,1711.0,01341
77.16250452406804,1616.0,01342
54.7008547008547,46.0,01343
50.58411214953272,1559.0,01344
57.575757575757585,496.0,01346
59.02777777777777,143.0,01347
52.142857142857146,1078.0,01349
45.714285714285715,104.0,01350
59.27367055771725,2212.0,01351
64.80590311196663,1641.0,01354
64.21568627450982,925.0,01355
63.53292296213393,3022.0,01360
48.62561847168774,7880.0,01364
63.17085179714426,1167.0,01366
57.12603062426384,666.0,01367
48.87820512820513,1336.0,01368
61.878136200716845,3990.0,01370
63.852354688162926,4355.0,01373
74.56427015250544,3680.0,01375
54.010125233146816,5275.0,01376
58.25082508250825,726.0,01378
63.573232323232325,843.0,01379
50.906646101520636,40462.0,01420
60.10307273434461,6160.0,01430
53.9777247414479,3177.0,01431
