Zipcode,Population,Pop_W,Pop_B,Pop_A,Pop_H,Median Age,State,Land Area (sq mi),Center Point Lat,Center Point Lng,Pop Density
00971,29095.0,19595.0,2198.0,0.0,28936.0,41.5,PR,15.957,18.318884,-66.11919,1823.33772012283
00976,61762.0,42025.0,6159.0,32.0,61463.0,37.9,PR,16.74,18.336176,-65.994099,3689.4862604540026
00979,15234.0,11196.0,2213.0,309.0,14171.0,49.1,PR,1.56,18.444394,-66.030036,9765.384615384615
00982,15029.0,8615.0,3775.0,19.0,15029.0,42.1,PR,1.42,18.411261,-65.99204499999999,10583.802816901409
00983,39407.0,21792.0,9546.0,116.0,38997.0,38.8,PR,3.46,18.417816,-65.975819,11389.306358381504
00985,33653.0,18608.0,8383.0,128.0,33424.0,41.4,PR,8.14,18.41077,-65.947928,4134.275184275184
00987,60377.0,34103.0,12967.0,35.0,60008.0,36.6,PR,24.816,18.338161,-65.94108299999999,2432.9867827208254
01001,17438.0,16014.0,230.0,639.0,1118.0,44.5,MA,11.442,42.062368,-72.625754,1524.0342597447998
01002,29780.0,23333.0,1399.0,3853.0,1919.0,23.4,MA,55.043,42.364061,-72.45873900000002,541.0315571462311
01003,11241.0,8967.0,699.0,1266.0,538.0,19.9,MA,0.711,42.389941,-72.524108,15810.126582278483
01005,5201.0,5062.0,40.0,81.0,60.0,43.3,MA,44.242,42.418848,-72.10659799999998,117.55797658333711
01007,14838.0,14086.0,104.0,330.0,309.0,42.2,MA,52.643,42.27901,-72.400468,281.8608361985449
01008,1171.0,1165.0,0.0,6.0,4.0,49.3,MA,53.79600000000001,42.190144,-72.95435,21.767417651870026
01009,429.0,429.0,0.0,0.0,0.0,55.6,MA,0.797,42.211969,-72.341433,538.2685069008783
01010,3695.0,3695.0,0.0,0.0,40.0,45.8,MA,34.742,42.128176,-72.205352,106.35541995279489
01011,1506.0,1449.0,17.0,10.0,41.0,41.0,MA,31.616,42.300281,-72.968716,47.63410931174089
01012,539.0,532.0,0.0,0.0,8.0,51.2,MA,13.119000000000002,42.375425,-72.858192,41.08544858602027
01013,22394.0,18852.0,640.0,413.0,5411.0,34.9,MA,5.624,42.154904,-72.602804,3981.8634423897583
01020,30952.0,27256.0,891.0,405.0,4266.0,43.7,MA,12.47,42.17260200000001,-72.562073,2482.1170809943865
01022,2840.0,2150.0,395.0,51.0,196.0,35.6,MA,4.761,42.197741,-72.542713,596.5133375341314
01026,1036.0,985.0,28.0,0.0,17.0,48.7,MA,24.004,42.465495,-72.918267,43.15947342109648
01027,17787.0,16248.0,313.0,456.0,1142.0,44.5,MA,40.501,42.295008,-72.75187700000002,439.17434137428705
01028,16017.0,14677.0,849.0,356.0,458.0,45.5,MA,13.005999999999998,42.062378,-72.498111,1231.5085345225282
01029,717.0,671.0,4.0,36.0,4.0,50.3,MA,15.848,42.193395,-73.044647,45.24230186774356
01030,11250.0,10808.0,190.0,202.0,621.0,44.0,MA,11.867,42.072925,-72.686972,948.0070784528524
01031,1369.0,1292.0,0.0,0.0,59.0,42.9,MA,8.092,42.329399,-72.198187,169.17943648047452
01032,611.0,605.0,0.0,6.0,7.0,49.2,MA,11.769,42.457613,-72.81478,51.916050641515845
