,Zipcode,Population,Edu_None,Edu_Ass,Edu_GED,Edu_HS,Edu_Bach,Edu_Mast,Edu_Prof,Edu_Doct
5264,17049,3302.0,11.0,80.0,47.0,930.0,199.0,115.0,0.0,0.0
5265,17050,34994.0,94.0,1833.0,377.0,6000.0,7200.0,3303.0,711.0,300.0
5266,17051,4655.0,20.0,226.0,222.0,1686.0,249.0,52.0,0.0,0.0
5267,17052,1436.0,6.0,87.0,43.0,583.0,52.0,18.0,0.0,0.0
5268,17053,4881.0,25.0,333.0,170.0,1476.0,502.0,160.0,49.0,8.0
5269,17055,35537.0,94.0,2256.0,611.0,7469.0,6123.0,2704.0,629.0,238.0
5270,17056,75.0,5.0,5.0,0.0,34.0,6.0,0.0,0.0,0.0
5271,17057,22091.0,105.0,1254.0,704.0,5701.0,2055.0,548.0,155.0,65.0
5272,17058,1908.0,11.0,66.0,46.0,582.0,169.0,72.0,4.0,0.0
5273,17059,7904.0,90.0,476.0,212.0,2693.0,479.0,358.0,12.0,6.0
5274,17060,1251.0,12.0,50.0,51.0,411.0,38.0,11.0,3.0,0.0
5275,17061,6931.0,35.0,547.0,217.0,2099.0,432.0,146.0,55.0,7.0
5276,17062,3995.0,15.0,287.0,136.0,1204.0,324.0,111.0,20.0,6.0
5277,17063,3334.0,34.0,134.0,125.0,1060.0,153.0,53.0,7.0,9.0
5278,17064,523.0,0.0,6.0,0.0,112.0,96.0,79.0,58.0,42.0
5279,17065,4162.0,25.0,148.0,161.0,1244.0,405.0,84.0,60.0,0.0
5280,17066,5380.0,28.0,261.0,264.0,1862.0,254.0,164.0,24.0,12.0
5281,17067,14195.0,168.0,714.0,342.0,4334.0,743.0,355.0,34.0,75.0
5282,17068,4506.0,11.0,326.0,204.0,1271.0,260.0,191.0,14.0,11.0
5283,17069,111.0,0.0,4.0,3.0,38.0,3.0,0.0,0.0,0.0
5284,17070,15688.0,49.0,1074.0,466.0,3365.0,2417.0,999.0,326.0,86.0
5285,17071,132.0,0.0,3.0,10.0,36.0,0.0,2.0,0.0,0.0
5286,17072,35.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
5287,17073,5375.0,86.0,128.0,323.0,1296.0,290.0,52.0,47.0,8.0
5288,17074,7124.0,43.0,425.0,254.0,2183.0,514.0,240.0,35.0,10.0
5289,17075,115.0,4.0,1.0,17.0,34.0,2.0,0.0,2.0,0.0
5290,17076,68.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0
5291,17077,88.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
5292,17078,21023.0,48.0,1287.0,521.0,5090.0,3067.0,1416.0,347.0,132.0
5293,17080,280.0,0.0,9.0,13.0,74.0,19.0,8.0,0.0,4.0
5294,17081,238.0,0.0,72.0,15.0,88.0,0.0,0.0,0.0,0.0
5295,17082,3453.0,18.0,137.0,117.0,1218.0,195.0,92.0,10.0,13.0
5296,17083,29.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
5297,17084,4446.0,25.0,263.0,101.0,1007.0,403.0,205.0,40.0,9.0
5298,17086,2284.0,16.0,67.0,78.0,825.0,137.0,48.0,3.0,13.0
5299,17087,3037.0,10.0,114.0,85.0,780.0,210.0,52.0,8.0,3.0
5300,17088,974.0,8.0,35.0,0.0,321.0,70.0,0.0,0.0,8.0
5301,17090,5505.0,19.0,335.0,142.0,1394.0,358.0,191.0,23.0,0.0
5302,17093,1099.0,0.0,47.0,23.0,284.0,83.0,18.0,0.0,0.0
5303,17094,2836.0,26.0,133.0,67.0,765.0,131.0,93.0,6.0,11.0
5304,17097,850.0,0.0,24.0,19.0,273.0,47.0,14.0,0.0,0.0
5305,17098,2297.0,14.0,129.0,94.0,801.0,109.0,33.0,0.0,2.0
5306,17099,1209.0,13.0,55.0,20.0,253.0,57.0,12.0,0.0,0.0
5307,17101,1988.0,14.0,63.0,103.0,457.0,178.0,169.0,92.0,21.0
5308,17102,8434.0,67.0,347.0,398.0,1453.0,1246.0,473.0,154.0,108.0
5309,17103,10946.0,135.0,545.0,389.0,2378.0,729.0,166.0,12.0,8.0
5310,17104,20513.0,240.0,614.0,647.0,3960.0,1316.0,376.0,60.0,13.0
5311,17109,23380.0,210.0,1498.0,655.0,4690.0,2927.0,1171.0,158.0,50.0
5312,17110,24715.0,222.0,1177.0,736.0,4312.0,3336.0,1470.0,525.0,233.0
5313,17111,32429.0,283.0,2246.0,798.0,6411.0,4589.0,1866.0,513.0,271.0
5314,17112,34375.0,58.0,2456.0,562.0,6647.0,6278.0,2357.0,671.0,284.0
5315,17113,10782.0,55.0,601.0,361.0,2771.0,556.0,292.0,39.0,20.0
5316,17120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5317,17201,25679.0,314.0,1163.0,807.0,5706.0,2406.0,1038.0,159.0,127.0
5318,17202,30801.0,132.0,1770.0,1115.0,8891.0,2942.0,1111.0,218.0,137.0
5319,17210,142.0,0.0,18.0,0.0,88.0,10.0,5.0,0.0,0.0
5320,17211,364.0,6.0,17.0,20.0,152.0,10.0,0.0,0.0,2.0
5321,17212,803.0,14.0,38.0,18.0,219.0,37.0,21.0,0.0,4.0
5322,17213,645.0,2.0,46.0,10.0,213.0,36.0,15.0,5.0,0.0
5323,17214,1090.0,0.0,70.0,28.0,353.0,27.0,19.0,37.0,0.0
5324,17215,229.0,4.0,3.0,16.0,75.0,7.0,24.0,0.0,0.0
5325,17217,164.0,0.0,11.0,11.0,53.0,0.0,0.0,0.0,0.0
5326,17219,537.0,0.0,17.0,4.0,139.0,11.0,12.0,4.0,0.0
5327,17220,345.0,0.0,5.0,7.0,113.0,31.0,7.0,0.0,0.0
5328,17221,556.0,0.0,43.0,9.0,179.0,36.0,7.0,0.0,0.0
5329,17222,10521.0,81.0,691.0,410.0,2665.0,1194.0,566.0,66.0,74.0
5330,17223,320.0,0.0,10.0,7.0,130.0,19.0,15.0,0.0,0.0
5331,17224,2085.0,10.0,113.0,137.0,816.0,24.0,34.0,6.0,5.0
5332,17225,20140.0,49.0,1054.0,621.0,5086.0,1673.0,671.0,207.0,62.0
5333,17228,1305.0,7.0,60.0,51.0,382.0,68.0,28.0,0.0,3.0
5334,17229,1322.0,12.0,71.0,49.0,491.0,62.0,16.0,3.0,3.0
5335,17233,5173.0,38.0,252.0,216.0,1650.0,330.0,141.0,29.0,6.0
5336,17235,651.0,0.0,29.0,0.0,244.0,0.0,14.0,0.0,0.0
5337,17236,7831.0,77.0,434.0,287.0,2589.0,342.0,292.0,10.0,9.0
5338,17237,2058.0,12.0,111.0,49.0,534.0,53.0,63.0,0.0,13.0
5339,17238,1602.0,10.0,68.0,98.0,542.0,107.0,70.0,0.0,0.0
