Zipcode,Land Area (sq mi),Center Point Lat,Center Point Lng
1262,12.034,42.292202,-73.319209
1264,11.361,42.23159,-73.202428
1266,26.052,42.312354,-73.388044
1267,54.554,42.671617,-73.246981
1270,31.858,42.515272,-73.031166
1301,25.491,42.626761,-72.60153
1330,33.326,42.513947,-72.821517
1331,53.224,42.562408,-72.19108
1337,37.222,42.689307,-72.582249
1338,3.454,42.572604,-72.824306
1339,54.978,42.603776,-72.889644
1340,44.182,42.694731,-72.710956
1341,35.686,42.496937,-72.709414
1342,17.834,42.543889,-72.609458
1343,4.871,42.657625,-72.978933
1344,13.634,42.613418,-72.426427
1346,20.996,42.693275,-72.823113
1347,0.577,42.559294,-72.518753
1349,7.685,42.563061,-72.482122
1350,10.721,42.727772,-72.985346
1351,20.926,42.53988,-72.521689
1354,13.764,42.624076,-72.508643
1355,47.38,42.458551,-72.327191
1360,34.285,42.677091,-72.453876
1364,39.232,42.605437,-72.292074
1366,40.405,42.475621,-72.192468
1367,26.536,42.695532,-72.909148
1368,41.842,42.679456,-72.176935
1370,49.819,42.593338,-72.726941
1373,24.161,42.475481,-72.615403
1375,14.23,42.466691,-72.546751
1376,2.761,42.59528,-72.555002
1378,34.021,42.673533,-72.353213
1379,30.209,42.55631,-72.407148
1420,30.317,42.584925,-71.816862
1430,36.979,42.657005,-71.923442
1431,23.702,42.676293,-71.832523
1432,8.444,42.566573,-71.575135
1434,5.281,42.538903,-71.612027
1436,9.595,42.602059,-72.087015
1438,0.542,42.562243,-72.031402
1440,24.042,42.584206,-71.988737
1450,32.756,42.61176,-71.565269
1451,19.132,42.501908,-71.568201
1452,41.071,42.489598,-72.002878
1453,28.469,42.519977,-71.763202
1460,16.523,42.535931,-71.490569
1462,26.419,42.582607,-71.720464
1463,22.6,42.670643,-71.602858
1464,15.014,42.573654,-71.640986
1467,1.895,42.489646,-71.609577
1468,21.4,42.542767,-72.068345
1469,22.881,42.664828,-71.695087
1473,35.433,42.5546,-71.90544
1474,9.919,42.669685,-71.752751
1475,42.852,42.66816,-72.055644
1501,15.457,42.198708,-71.846006
1503,12.972,42.384929,-71.633889
1504,11.075,42.039991,-71.532406
1505,16.061,42.355049,-71.716157
1506,15.546,42.180788,-72.107891
1507,42.183,42.133935,-71.968025
1510,5.655,42.411887,-71.690005
1515,9.853,42.209682,-72.040178
1516,36.754,42.053072,-71.752241
1518,8.871,42.127477,-72.118818
1519,10.912,42.203404,-71.679739
1520,18.081,42.336372,-71.850626
1521,12.294,42.046799,-72.180144
1522,16.378,42.375634,-71.867382
1523,25.188,42.483569,-71.675585
1524,15.975,42.249603,-71.919217
1525,0.449,42.106794,-71.630518
1527,15.569,42.192246,-71.777649
1529,4.906,42.036642,-71.578779
1531,20.789,42.319125,-72.130814
1532,18.476,42.323342,-71.646236
1534,8.758,42.142074,-71.643348
1535,21.268,42.267564,-72.066876
1536,8.339,42.231309,-71.692642
1537,6.983,42.158966,-71.897051
1540,19.355,42.116263,-71.857465
1541,35.409,42.454125,-71.87754
1542,4.026,42.204251,-71.908907
1543,35.104,42.388285,-71.969865
1545,20.739,42.284767,-71.714228
1550,20.28,42.059737,-72.033908
1560,3.567,42.175395,-71.674223
1561,0.123,42.44397,-71.685583
1562,32.832,42.247211,-71.991867
1564,30.638,42.447924,-71.776045
1566,28.352,42.103214,-72.079545
1568,21.44,42.176526,-71.603588
1569,29.08,42.05593,-71.631232
1570,12.38,42.047532,-71.846952
1571,20.817,42.053778,-71.935075
1581,20.584,42.268426,-71.613309
1583,12.615,42.369417,-71.785036
1585,25.55,42.240796,-72.162645
1588,8.613,42.118794,-71.672494
1590,32.009,42.132051,-71.750318
1602,5.767,42.269189,-71.850728
1603,4.514,42.243826,-71.843569
1604,6.439,42.253254,-71.767957
1605,5.642,42.289683,-71.787793
1606,5.93,42.315249,-71.795741
1607,3.166,42.225974,-71.788894
1608,0.448,42.26198,-71.801462
1609,3.82,42.285114,-71.829987
1610,2.126,42.247049,-71.808366
1611,3.442,42.237604,-71.875838
1612,15.315,42.296798,-71.928991
1701,16.959,42.319587,-71.4428
1702,8.092,42.282379,-71.436621
1718,0.047,42.519816,-71.429283
1719,10.286,42.485985,-71.520985
1720,19.713,42.483953,-71.438495
1721,12.33,42.257755,-71.473526
1730,13.698,42.499295,-71.281889
1731,0.791,42.456748,-71.279484
1740,19.952,42.439941,-71.601879
1741,15.265,42.53662,-71.361832
1742,24.446,42.462911,-71.364496
1745,0.399,42.292114,-71.499197
1746,18.645,42.195951,-71.45343
1747,5.171,42.123007,-71.531404
1748,26.261,42.224096,-71.540489
1749,11.522,42.389071,-71.545864
1752,20.866,42.349617,-71.547214
1754,5.213,42.425955,-71.456256
1756,17.774,42.09387,-71.544519
1757,14.88,42.158692,-71.521419
1760,14.811,42.284822,-71.348811
1770,15.817,42.231947,-71.372963
1772,13.616,42.302877,-71.530828
1773,13.62,42.425506,-71.310812
1775,17.313,42.429688,-71.512514
1776,24.239,42.383367,-71.42107
1778,15.208,42.343687,-71.381186
1801,12.654,42.488769,-71.154438
1803,11.696,42.503227,-71.201713
1810,30.849,42.648044,-71.161751
1821,16.567,42.54933,-71.251725
1824,17.75,42.59079,-71.355182
1826,20.627,42.679723,-71.30068
1827,16.456,42.676149,-71.499772
1830,13.798,42.796313,-71.053436
1832,11.359,42.791114,-71.132859
1833,12.86,42.727879,-70.982036
1834,8.884,42.7539,-71.015935
1835,7.811,42.751233,-71.0943
1840,0.498,42.706763,-71.160403
1841,3.089,42.712015,-71.164873
1843,3.369,42.689974,-71.160383
1844,22.219,42.742468,-71.179218
1845,26.306,42.673909,-71.091334
1850,1.36,42.656045,-71.303309
1851,3.338,42.627812,-71.33533
1852,4.953,42.631912,-71.296025
1854,3.934,42.649481,-71.348229
1860,8.458,42.838603,-71.011997
1862,9.242,42.578543,-71.295592
1863,4.62,42.63378,-71.38947
1864,13.14,42.578222,-71.084398
1867,9.936,42.535183,-71.105423
1876,20.459,42.611801,-71.227571
1879,16.782,42.667762,-71.42882
1880,6.908,42.501524,-71.067489
1886,30.252,42.585541,-71.44025
1887,16.978,42.564647,-71.164516
1890,6.031,42.452752,-71.144319
1901,0.248,42.460419,-70.946379
1902,2.403,42.471039,-70.941535
1904,4.521,42.492456,-70.97393
1905,3.56,42.465998,-70.975792
1906,10.806,42.468432,-71.013946
1907,3.036,42.474145,-70.906597
1908,1.046,42.428256,-70.926041
1913,12.263,42.851293,-70.95581
1915,15.093,42.570665,-70.867583
1921,23.556,42.683108,-71.01833
1922,9.588,42.757313,-70.914241
1923,13.203,42.574174,-70.950516
1929,13.972,42.64042,-70.771172
1930,26.193,42.61991,-70.681824
1937,0.073,42.585723,-70.984051
1938,30.432,42.68386,-70.842666
1940,10.548,42.534146,-71.038333
1944,9.229,42.576636,-70.767154
1945,4.386,42.501835,-70.859126
1949,13.454,42.606666,-71.010316
1950,8.348,42.812358,-70.891095
1951,13.765,42.773351,-70.850211
1952,15.404,42.844793,-70.841476
1960,15.997,42.534279,-70.969782
1966,6.992,42.640715,-70.620248
1969,17.492,42.720873,-70.89122
1970,8.109,42.524435,-70.870859
1982,14.185,42.626223,-70.85723
1983,11.923,42.641379,-70.94344
1984,7.66,42.600633,-70.883303
1985,13.451,42.799565,-70.964428
2019,18.349,42.076682,-71.47449
2021,18.797,42.175737,-71.125385
2025,9.789,42.236422,-70.814435
2026,10.244,42.246872,-71.179462
2030,15.119,42.23416,-71.291167
2032,2.34,42.156882,-71.216187
2035,19.848,42.061338,-71.245802
2038,26.632,42.084858,-71.410571
2043,22.157,42.216098,-70.88127
2045,2.658,42.292253,-70.923919
2047,0.239,42.133914,-70.686037
2048,20.101,42.017302,-71.21641
2050,29.079,42.115139,-70.710331
2052,14.402,42.184599,-71.305307
2053,11.543,42.156203,-71.430345
2054,12.022,42.173103,-71.363756
2056,14.869,42.113664,-71.337555
2061,20.941,42.164569,-70.818844
2062,10.358,42.18736,-71.195955
2066,16.927,42.202273,-70.758184
2067,22.672,42.1076,-71.181828
2071,0.97,42.103425,-71.273589
2072,16.092,42.119006,-71.10365
2081,17.921,42.146691,-71.270532
2090,10.895,42.219645,-71.216768
2093,21.707,42.052671,-71.356858
2108,0.136,42.357758,-71.064901
2109,0.174,42.367032,-71.050493
2110,0.184,42.361962,-71.047846
2111,0.27,42.350518,-71.059077
2113,0.1,42.365331,-71.055233
2114,0.45,42.363174,-71.068646
2115,0.709,42.337105,-71.105696
2116,0.631,42.350579,-71.076397
2118,1.096,42.337582,-71.070482
2119,1.598,42.324029,-71.085017
2120,0.621,42.33209,-71.096545
2121,1.745,42.306267,-71.085897
2122,2.035,42.291413,-71.042158
2124,3.003,42.285805,-71.070571
2125,2.132,42.315682,-71.055555
2126,2.082,42.274227,-71.097423
2127,2.023,42.334992,-71.039093
2128,4.851,42.361129,-71.006975
2129,1.352,42.379657,-71.061487
2130,3.334,42.309174,-71.113835
2131,2.587,42.284333,-71.126228
2132,4.561,42.280455,-71.162017
2134,1.326,42.358016,-71.128608
2135,2.635,42.349688,-71.153964
2136,4.59,42.255083,-71.12922
2138,2.74,42.379637,-71.135152
2139,1.558,42.362986,-71.103353
2140,1.154,42.392157,-71.133996
2141,0.642,42.3703,-71.08256
2142,0.278,42.361471,-71.081994
2143,1.543,42.381409,-71.096714
2144,1.082,42.399655,-71.12255
2145,1.396,42.391577,-71.08991
2148,5.045,42.42938,-71.058706
2149,3.426,42.405938,-71.054649
2150,2.208,42.396824,-71.031348
2151,5.862,42.41829,-71.001251
2152,1.972,42.373055,-70.974807
2155,8.197,42.42384,-71.107673
2163,0.099,42.366168,-71.12285
2169,8.971,42.248386,-71.002279
2170,2.083,42.266415,-71.015576
2171,2.452,42.293327,-71.018193
2176,4.679,42.455723,-71.059019
2180,6.019,42.474208,-71.097665
2184,13.751,42.206188,-71.00232
2186,13.014,42.241557,-71.082432
2188,3.719,42.204579,-70.957753
2189,3.825,42.209776,-70.928189
2190,7.118,42.166731,-70.952363
2191,2.024,42.243453,-70.942033
2199,0.057,42.347476,-71.082035
2203,0.032,42.360588,-71.058737
2210,0.965,42.347472,-71.039271
2215,0.765,42.347635,-71.103082
2301,12.434,42.078371,-71.042304
2302,8.89,42.088907,-70.998375
2322,4.291,42.132461,-71.054013
2324,27.317,41.972387,-70.978778
2330,37.41,41.878644,-70.743198
2332,23.738,42.044324,-70.706073
2333,17.209,42.037278,-70.940459
2338,16.003,42.002811,-70.863473
2339,15.609,42.122956,-70.85631
2341,15.055,42.050464,-70.867418
2343,7.007,42.140244,-70.997347
2346,68.868,41.878004,-70.869267
2347,29.766,41.834412,-70.957163
2351,9.655,42.119964,-70.957216
2356,13.707,42.060532,-71.119676
2357,0.481,42.054978,-71.080651
2359,21.777,42.067804,-70.805713
2360,95.502,41.882056,-70.63129
2364,18.657,41.987196,-70.741942
2366,0.947,41.850984,-70.654984
2367,14.674,41.9591,-70.802753
2368,10.076,42.176446,-71.051568
2370,10.311,42.130399,-70.910615
2375,14.568,42.003041,-71.076928
2379,15.321,42.021617,-71.026717
2382,6.94,42.078974,-70.93939
2420,6.584,42.457055,-71.215464
2421,9.85,42.438547,-71.239573
2445,2.604,42.325483,-71.135045
2446,1.287,42.343499,-71.122244
2451,5.523,42.397825,-71.255701
2452,3.699,42.392721,-71.213532
2453,3.499,42.369542,-71.240513
2457,0.16,42.299388,-71.274242
2458,2.002,42.353585,-71.188192
2459,5.005,42.314779,-71.192017
2460,1.344,42.351824,-71.20849
2461,1.455,42.317362,-71.206508
2462,0.529,42.328708,-71.2559
2464,0.565,42.312975,-71.218882
2465,2.243,42.348912,-71.22633
2466,1.791,42.344457,-71.248617
2467,4.872,42.314321,-71.152778
2468,1.48,42.328553,-71.22953
2472,4.031,42.369451,-71.177925
2474,3.052,42.420949,-71.15637
2476,2.094,42.415637,-71.17567
2478,4.647,42.395317,-71.180284
2481,5.64,42.311947,-71.275517
2482,4.208,42.293099,-71.298535
2492,9.527,42.276029,-71.244543
2493,16.825,42.360502,-71.303433
2494,2.767,42.29949,-71.232519
2532,14.259,41.751759,-70.597552
2534,2.286,41.668942,-70.619407
2535,24.374,41.337961,-70.761674
2536,27.681,41.596305,-70.567467
2537,12.097,41.728418,-70.435812
2538,4.546,41.777476,-70.642148
2539,26.815,41.377655,-70.52208
2540,10.717,41.573881,-70.632049
2542,30.725,41.707839,-70.54552
2543,9.932,41.478974,-70.766911
2553,0.246,41.711561,-70.622853
2554,40.298,41.291072,-70.093329
2556,3.867,41.639445,-70.624515
2557,7.207,41.441713,-70.576143
2558,1.229,41.745017,-70.653513
2559,5.032,41.690243,-70.616283
2561,0.615,41.766737,-70.540595
2562,3.347,41.787209,-70.526717
2563,13.202,41.728137,-70.476549
2564,5.748,41.271934,-69.984415
2568,6.672,41.458608,-70.613479
2571,19.902,41.761187,-70.695991
2575,25.011,41.400252,-70.656934
2576,9.765,41.772221,-70.762948
2584,0.067,41.258845,-70.007333
2601,8.594,41.657961,-70.298093
2630,4.01,41.706769,-70.31253
2631,21.975,41.747513,-70.066223
2632,7.32,41.659097,-70.346877
2633,7.553,41.689734,-69.972126
2635,5.526,41.624054,-70.439397
2637,0.7,41.705726,-70.270928
2638,5.901,41.730228,-70.197398
2639,2.767,41.668067,-70.136979
2641,2.041,41.751246,-70.153472
2642,13.877,41.841331,-69.977436
2643,1.894,41.797777,-69.937327
2644,3.562,41.683488,-70.510786
2645,16.643,41.711052,-70.057609
2646,3.011,41.670596,-70.071449
2647,0.474,41.630127,-70.310144
