,Zipcode,Center Point Lat,Center Point Lng,ID,Gmaps Lat,Gmaps Lon
27584,79259,34.398492,-100.472927,0.0,34.391283,-100.4621366
27585,79261,34.447226,-100.809848,0.0,34.4234967,-100.8451467
27586,79311,33.857882000000004,-101.881538,0.0,33.866995,-101.866362
27587,79312,34.019064,-102.419954,0.0,34.0268643,-102.3578423
27588,79313,33.804891999999995,-102.162291,0.0,33.7960381,-102.1404037
27589,79314,33.5849,-103.01451,0.0,33.6059669,-103.0241726
27590,79316,33.137907,-102.326183,1.0,33.139847,-102.3005803
27591,79322,33.633175,-101.178516,1.0,33.6867224,-101.207047
27592,79323,32.945746,-102.869403,1.0,32.9261999,-102.8744945
27593,79324,33.897884000000005,-102.68249,0.0,33.9158169,-102.6905326
27594,79325,34.424608,-102.943742,0.0,34.4117139,-102.9665821
27595,79326,34.077938,-102.216144,0.0,34.08462069999999,-102.220463
27596,79329,33.715143,-101.674963,0.0,33.7083404,-101.6840589
27597,79330,33.040784,-101.224946,0.0,33.0421906,-101.2297105
27598,79331,32.695214,-102.00957,1.0,32.63377060000001,-102.026135
27599,79336,33.603903,-102.398414,1.0,33.6212592,-102.3463875
27600,79339,33.889082,-102.337301,1.0,33.9338819,-102.3005803
27601,79342,32.908208,-102.3366,0.0,32.8936529,-102.3234816
27602,79343,33.658671000000005,-101.531037,0.0,33.6330357,-101.5475409
27603,79344,33.844961,-102.930411,0.0,33.8599212,-102.9090191
27604,79345,33.337542,-102.33135,0.0,33.3181424,-102.5068597
27605,79346,33.648086,-102.824958,1.0,33.6768298,-102.8744945
27606,79347,34.17256,-102.78941,1.0,34.2857451,-102.7135121
27607,79350,33.731452000000004,-101.825895,0.0,33.74110599999999,-101.8375532
27608,79351,32.92701,-101.764414,0.0,32.9026006,-101.7751709
27609,79353,33.783518,-102.581946,0.0,33.76905,-102.5699643
27610,79355,33.181663,-102.876728,0.0,33.1720847,-102.8514837
27611,79356,33.28589,-101.339267,0.0,33.2358163,-101.2977322
27612,79357,33.611886,-101.404701,0.0,33.5816521,-101.3885001
27613,79358,33.442184999999995,-102.195033,0.0,33.4387565,-102.1861447
27614,79359,32.971141,-102.586555,0.0,32.9593269,-102.5527505
27615,79360,32.689820000000005,-102.724661,1.0,32.6987519,-102.7135121
27616,79363,33.707731,-102.045021,0.0,33.7170188,-102.0489791
27617,79364,33.452358000000004,-101.644072,0.0,33.4676345,-101.6612934
27618,79366,33.530315,-101.685343,0.0,33.5292787,-101.6812129
27619,79367,33.621453,-102.190786,0.0,33.5847818,-102.1631689
27620,79369,33.955743,-102.145171,0.0,33.9548737,-102.1461203
27621,79370,33.507585,-100.908386,0.0,33.5343766,-100.9354944
27622,79371,33.952621,-102.966213,0.0,34.1149979,-102.4609873
27623,79372,33.434243,-102.488401,0.0,33.4480295,-102.4781873
27624,79373,33.182577,-101.827198,1.0,33.1933299,-101.7523854
27625,79376,33.23386,-102.673107,0.0,33.2109063,-102.6905326
27626,79377,32.929648,-102.133506,0.0,32.9217345,-102.1518372
27627,79378,33.058133000000005,-102.474677,0.0,33.0552674,-102.5355393
27628,79379,33.510507000000004,-102.646422,0.0,33.514862,-102.6331035
27629,79380,33.735629,-102.332216,0.0,33.73764810000001,-102.3275519
27630,79381,33.312912,-101.770523,0.0,33.3062662,-101.7296049
27631,79382,33.455287,-102.014055,0.0,33.4689376,-101.9918779
27632,79401,33.588771,-101.850444,1.0,33.584646,-101.8521082
27633,79403,33.643505,-101.775447,0.0,33.655501,-101.7751709
27634,79404,33.527702000000005,-101.793717,0.0,33.5087283,-101.8093583
27635,79406,33.585914,-101.878393,0.0,33.58,-101.88
27636,79407,33.566862,-102.079243,0.0,33.580247,-102.0946818
27637,79410,33.570071,-101.891011,3.0,33.5691904,-101.8977271
27638,79411,33.570034,-101.857733,0.0,33.5675402,-101.8578095
27639,79412,33.546383,-101.856516,1.0,33.5424277,-101.8606603
27640,79413,33.547402000000005,-101.885644,0.0,33.5512585,-101.8834691
27641,79414,33.547794,-101.92023,0.0,33.5479366,-101.9176916
27642,79415,33.700795,-101.896988,2.0,33.6863649,-101.9119871
27643,79416,33.600031,-101.982853,1.0,33.60361779999999,-101.9690458
27644,79423,33.439976,-101.855463,0.0,33.4258874,-101.866362
27645,79424,33.468167,-101.947592,0.0,33.47561,-101.9233964
27646,79501,32.747863,-99.905394,1.0,32.7280136,-99.9465077
27647,79502,33.183064,-100.245133,1.0,33.152316,-100.2151578
27648,79503,32.868609,-99.692923,0.0,32.9037868,-99.70097539999999
27649,79504,32.335802,-99.350571,0.0,32.3518245,-99.3007367
27650,79505,33.577057,-99.809712,0.0,33.5608284,-99.8348146
27651,79506,32.106426,-100.313408,0.0,32.0868135,-100.3185464
27652,79508,32.274081,-99.826041,0.0,32.2835102,-99.8292338
27653,79510,32.266413,-99.518894,0.0,32.2244995,-99.5006143
27654,79511,32.415915000000005,-101.250314,0.0,32.4138613,-101.2750531
27655,79512,32.304117,-100.924392,1.0,32.2873156,-100.9354944
27656,79517,32.879511,-101.246784,0.0,32.8885348,-101.207047
27657,79518,33.341053,-100.714732,0.0,33.3567724,-100.6872457
27658,79519,32.049869,-99.693761,0.0,32.0396279,-99.71212059999999
27659,79520,32.857153000000004,-100.124111,1.0,32.8922722,-100.1255164
27660,79521,33.122685,-99.650389,1.0,33.1063006,-99.6786894
27661,79525,32.630369,-99.830593,0.0,32.625006,-99.8348146
27662,79526,32.636295000000004,-100.71688,0.0,32.640503,-100.7323332
27663,79527,32.593166,-101.059442,0.0,32.604818,-101.1390878
27664,79528,33.192636,-100.893642,0.0,33.2313468,-100.5971361
27665,79529,33.431837,-99.853667,1.0,33.4276833,-99.8348146
27666,79530,32.118932,-99.748801,0.0,32.0898609,-99.79017809999999
27667,79532,32.404869,-100.711396,0.0,32.3720861,-100.7323332
27668,79533,32.857171,-99.55149,0.0,32.9141333,-99.5673479
27669,79534,32.764335,-100.211994,0.0,32.7835699,-100.2263694
27670,79535,32.223438,-100.479835,0.0,32.2118056,-100.5071143
27671,79536,32.473616,-100.032549,0.0,32.476437,-100.0135929
27672,79537,32.291861,-100.210748,0.0,32.3274717,-100.1927389
27673,79538,31.970613,-99.684164,0.0,31.9616564,-99.70097539999999
27674,79539,33.361114,-99.876875,0.0,33.3730401,-99.8236533
27675,79540,33.169164,-100.040999,0.0,33.1567466,-100.0247788
27676,79541,32.147788,-99.810223,0.0,32.1451774,-99.6564092
27677,79543,32.71433,-100.407773,0.0,32.6914531,-100.3947116
27678,79544,33.301509,-99.8529,0.0,33.2943542,-99.8348146
27679,79545,32.415212,-100.573539,0.0,32.4079024,-100.5746224
27680,79546,32.891818,-100.498206,1.0,32.8625049,-100.4846227
27681,79547,33.197744,-99.905443,0.0,33.1982372,-99.92415749999999
27682,79548,33.049768,-99.918963,0.0,33.0748667,-99.9353318
27683,79549,32.887589,-100.841389,1.0,32.9127679,-100.9354944
27684,79553,32.940911,-99.850964,1.0,32.9138357,-99.85714159999999
27685,79556,32.458787,-100.357939,1.0,32.5125405,-100.3947116
27686,79560,32.665235,-100.213046,0.0,32.6821034,-100.2375823
27687,79561,32.515491,-100.195108,0.0,32.5067769,-100.1927389
27688,79562,32.236251,-99.866451,0.0,32.2506167,-99.890643
27689,79563,32.415823,-99.90623,0.0,32.4301639,-99.890643
27690,79565,32.397372,-101.087816,0.0,32.3853383,-101.0938079
27691,79566,32.109022,-100.134603,0.0,32.0440187,-100.1101199
27692,79567,31.972434000000003,-99.950294,1.0,32.0101146,-99.9465077
27693,79601,32.576489,-99.665323,2.0,32.5700066,-99.6786894
27694,79602,32.335677000000004,-99.667488,1.0,32.3249863,-99.6564092
27695,79603,32.333551,-99.927724,0.0,32.3611059,-99.91298450000001
27696,79605,32.434599,-99.781827,0.0,32.4389231,-99.7790227
27697,79606,32.362783,-99.817314,3.0,32.3560371,-99.8348146
27698,79607,32.43035,-99.832641,0.0,32.4181743,-99.8292338
27699,79699,32.462235,-99.715894,0.0,32.4682778,-99.70794099999999
27700,79701,31.992384,-102.081464,1.0,31.9916009,-102.0832543
27701,79703,31.979427,-102.132366,1.0,31.9810423,-102.1346874
27702,79705,32.05121,-102.059633,0.0,32.0688848,-102.0946818
27703,79706,31.848988,-102.005075,2.0,31.8781368,-101.9804613
27704,79707,32.044601,-102.189372,1.0,32.0555791,-102.2319048
27705,79713,32.489818,-101.754488,0.0,32.5017061,-101.7751709
27706,79714,32.335729,-102.697303,1.0,32.2838911,-102.8514837
27707,79718,31.004969,-103.759065,0.0,31.021636,-103.7752634
27708,79719,31.460655,-103.404137,0.0,31.45560499999999,-103.393389
27709,79720,32.253541,-101.47264,3.0,32.2875944,-101.4339148
27710,79730,31.169521000000003,-103.085135,0.0,31.1599754,-103.1048449
27711,79731,31.422796,-102.487774,1.0,31.4093115,-102.4151335
27712,79733,32.102911,-101.365434,0.0,32.1090289,-101.367135
27713,79734,30.686139,-103.96015,0.0,30.7713229,-104.0072348
27714,79735,30.74745900000001,-102.790792,1.0,30.8568345,-102.7594847
27715,79738,32.75193400000001,-101.474837,0.0,32.7502053,-101.5020752
27716,79739,31.769325,-101.506391,0.0,31.7900341,-101.47935
27717,79741,31.969312,-102.630882,0.0,31.9699065,-102.644587
27718,79742,31.34204,-102.868447,0.0,31.3107741,-102.8399799
27719,79743,31.185703000000004,-102.593762,0.0,31.2111331,-102.5986597
27720,79744,30.922006,-101.970261,1.0,30.9278324,-102.026135
27721,79745,31.831415000000003,-103.055986,1.0,31.7473945,-102.8514837
27722,79748,32.408047,-101.651732,0.0,32.4129909,-101.6499125
27723,79749,32.289048,-101.871764,0.0,32.2798011,-101.8777664
27724,79752,31.22887,-102.162001,1.0,31.210594,-102.1404037
27725,79754,31.803547,-103.599914,0.0,31.81881,-103.6594267
27726,79755,31.517628,-101.918007,0.0,31.502598,-101.9119871
27727,79756,31.540255,-102.844644,1.0,31.5679903,-102.8514837
27728,79758,31.970449,-102.320729,0.0,32.0421048,-102.3692982
27729,79759,31.799148,-102.632944,0.0,31.7660338,-102.6675575
27730,79761,31.855051,-102.350647,3.0,31.8528609,-102.3578423
27731,79762,31.925466,-102.357932,0.0,31.9626279,-102.3807553
27732,79763,31.799158,-102.47409,0.0,31.804516,-102.5068597
27733,79764,31.866262,-102.537544,0.0,31.8840886,-102.4953899
27734,79765,31.91439,-102.262512,0.0,31.9066538,-102.2662372
27735,79766,31.725171000000003,-102.413607,0.0,31.703691,-102.3922135
27736,79770,31.875118,-103.933311,0.0,31.8775039,-103.9376021
27737,79772,31.422363,-103.627309,1.0,31.3511246,-103.6362715
27738,79777,31.484586,-103.161046,0.0,31.5047047,-103.139435
27739,79778,31.17624600000001,-101.923824,2.0,31.1870316,-101.9119871
27740,79780,31.061959,-103.592093,0.0,31.0215322,-103.5668302
27741,79781,30.596998,-101.78453,0.0,30.5907575,-101.7523854
27742,79782,32.149838,-101.826743,2.0,32.0341947,-101.7523854
27743,79783,32.321673,-102.042298,0.0,32.2679714,-102.1175404
27744,79785,31.327482,-103.906799,0.0,31.3458085,-103.8911999
27745,79788,31.58214000000001,-102.977116,0.0,31.5863229,-103.0011331
27746,79789,31.696251,-103.138992,0.0,31.7488451,-103.1625005
27747,79821,31.980053,-106.598777,0.0,31.9851174,-106.5937658
27748,79830,29.802094,-103.22236,1.0,29.722569,-103.2201828
27749,79831,30.429399,-103.325765,0.0,30.4390439,-103.3125299
27750,79834,29.182799,-103.262437,0.0,29.2669239,-103.2201828
27751,79835,31.936406,-106.589725,0.0,31.9377347,-106.5760857
27752,79836,31.57255,-106.198866,0.0,31.5724872,-106.1933837
27753,79837,32.241138,-105.248929,0.0,32.2040928,-105.5005483
27754,79838,31.482839,-106.168049,0.0,31.4896685,-106.1463317
27755,79839,31.33317700000001,-105.902546,0.0,31.4060612,-105.6647142
27756,79842,30.085732,-103.11774,0.0,30.0750511,-103.1048449
27757,79843,30.285296,-104.005761,0.0,30.2495127,-104.2395942
27758,79845,29.888044,-104.519138,0.0,29.9218997,-104.5422225
27759,79846,29.387969,-103.990395,0.0,29.46374,-103.9608091
27760,79847,31.835905,-105.052957,0.0,31.7786811,-104.9856176
27761,79848,30.261302,-102.301073,0.0,30.1677486,-102.3922135
27762,79849,31.560649,-106.25011200000002,0.0,31.56006369999999,-106.2463305
27763,79851,31.278279,-105.31166,0.0,31.3686902,-105.2428853
27764,79852,29.39623,-103.617232,0.0,29.4020243,-103.682586
